Releases,Companies,Events,NoC,50_pct_cmts,ele_fact_th,cmts_prop,nb,comcmts,cmts,cmtsK
Cactus,32,Cat2,1,1168,1233,1233,1,1233,2336,3
Diablo,35,Cat2,2,3586,3812,1906,2,1906,7172,7
Essex,59,Cat2,3,4403,5048,1683,3,1682.666667,8806,9
Folsom,79,Cat2,3,6856,7786,2596,3,2595.333333,13711,14
Grizzly,106,Cat2,3,9817,10833,3611,3,3611,19634,20
Havana,131,Cat2,4,14751,15349,3838,4,3837.25,29501,30
IceHse,131,Cat2,4,15353,15647,3912,4,3911.75,30705,31
Juno,160,Cat3,6,17995,19482,3247,6,3247,35989,36
Kilo,178,Cat3,6,22262,23750,3959,6,3958.333333,44523,46
Liberty,177,Cat3,6,23322,24999,4167,7,3571.285714,46644,47
Mitaka,178,Cat3,6,25588,26779,4464,8,3347.375,51176,52
Newton,198,Cat3,7,26598,27998,4000,8,3499.75,53196,53
Octava,209,Cat3,8,18927,19549,2444,9,2172.111111,57854,58
Pike,208,Cat3,8,20831,21604,2701,10,2160.4,55662,56
